Link,Location,DataTime,Info,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Yashash maydoni,Oshxona maydoni,Etaj,Max etaj,Qurilish turi,Rejasi,Sanuzel,Mebel,Remont,Internet,Telefon,Televizor,Muzlatgich,Konditsioner,Kabelli TV,Kir mashina,Oshxona,Shifoxona,Poliklinika,Bolalar maydonchasi,Bolalar bogchasi,Bekat,Park,Kongilochar joy,Yashil maydon,Restoran,Kafe,Avtoturargoh,Bozor,Supermarket,Dukon,Maktab,Metro
https://www.olx.uz/d/obyavlenie/novostroyka-2-3-7-yakkasaray-ul-shotarustavelli-ID2NnOD.html#92c514a8a3,Яккасарайский район,Сегодня в 15:18,Новостройка 2/3/7 яккасарай ул Шотаруставелли,57000.0,Бизнес,Новостройки,2,50.0,50.0,8.0,3,7,,Раздельная,Раздельный,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.olx.uz/d/obyavlenie/ts5-sverdlovskaya-planirovka-kirpich-3-komn-2-etazh-ID2Oogf.html#92c514a8a3,Юнусабадский район,Сегодня в 15:18,Ц5 Свердловская планировка/кирпич/3 комн/2 этаж,90000.0,Бизнес,Вторичный рынок,3,72.0,0.0,0.0,2,4,Кирпичный,Раздельная,,1,Евроремонт,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-ts2-2-8-8-ID2Ld1V.html#92c514a8a3,Юнусабадский район,Сегодня в 15:18,Продаётся квартира Ц2 2/8/8,70000.0,Бизнес,Новостройки,2,52.0,0.0,0.0,8,8,,,,1,Авторский проект,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/novostroyka-76-kv-gunchada-3-xonali-ID2FBgV.html#92c514a8a3,Шайхантахурский район,Сегодня в 15:17,Novostroyka 76 kv Gunchada 3 xonali,70000.0,Частное лицо,Новостройки,3,76.0,0.0,0.0,5,6,Кирпичный,Раздельная,Раздельный,0,Евроремонт,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/chilanzar-24-kv-65m2-3-4-4-balkon-1-5-3-uspey-kupit-ID2NnOt.html#92c514a8a3,Шайхантахурский район,Сегодня в 15:17,"Чиланзар 24-кв 65м2 3/4/4 Балкон 1,5/3 Успей купить",45500.0,Бизнес,Вторичный рынок,3,65.0,0.0,0.0,4,4,Панельный,Смежно-раздельная,Раздельный,0,Средний,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/1-1-4-buyuk-ipak-yuli-apteka-36-6-ID2A9WU.html#92c514a8a3,Мирзо-Улугбекский район,Сегодня в 15:17,1/1/4 буюк ипак йули аптека 36.6,34500.0,Бизнес,Вторичный рынок,1,36.0,0.0,0.0,1,4,Кирпичный,,Совмещенный,0,Средний,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/srochno-prodaetsya-svoya-kvartira-na-risovym-bazare-ID2OWIe.html#92c514a8a3,Мирабадский район,Сегодня в 15:17,Срочно Продаётся СВОЯ Квартира На Рисовым Базаре,16200.0,Бизнес,Вторичный рынок,1,18.0,0.0,0.0,2,4,Кирпичный,Смежная,Совмещенный,0,Евроремонт,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/yunusabad-18-det-sad-2-4-4-bez-remonta-ID2OWI8.html#92c514a8a3,Юнусабадский район,Сегодня в 15:17,Юнусабад 18 (дет.сад) 2/4/4/ (без ремонта),37500.0,Бизнес,Вторичный рынок,2,61.0,0.0,0.0,4,4,Кирпичный,,,0,Требует ремонта,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/bektemir-vodnikda-2-honali-kv-sotiladi-ID2OWI5.html#92c514a8a3,Бектемирский район,Сегодня в 15:17,Бектемир водникда 2 хонали кв сотилади,35000.0,Частное лицо,Вторичный рынок,2,48.0,0.0,0.0,2,4,Кирпичный,,,1,Средний,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0
https://www.olx.uz/d/obyavlenie/chilanzar-15-kv-65m2-2-6-9-otd-vhod-ID2NnOc.html#92c514a8a3,Чиланзарский район,Сегодня в 15:16,Чиланзар 15-кв 65м2 2/6/9 отд вход,42000.0,Бизнес,Вторичный рынок,2,65.0,0.0,0.0,6,9,Панельный,Раздельная,Раздельный,0,Требует ремонта,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
