,Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
226,0,45500.0,Бизнес,Вторичный рынок,3,70.0,4,4,0,0,1,1,1,1,1,1,0
227,2,152000.0,Бизнес,Вторичный рынок,4,135.0,2,4,1,1,1,1,1,1,1,1,0
228,2,60000.0,Бизнес,Новостройки,3,74.0,6,10,0,0,1,1,1,1,1,1,0
229,0,28000.0,Бизнес,Вторичный рынок,1,30.0,4,4,1,0,1,1,1,1,1,1,0
230,1,50000.0,Бизнес,Вторичный рынок,1,45.0,9,9,1,0,1,1,0,0,0,1,0
231,1,123000.0,Бизнес,Новостройки,2,85.0,2,10,1,1,1,1,1,1,1,1,0
232,2,100000.0,Бизнес,Вторичный рынок,4,133.0,2,4,0,0,0,0,0,0,0,0,0
233,0,54500.0,Бизнес,Вторичный рынок,2,52.0,1,4,0,0,1,1,1,1,1,1,0
234,0,65000.0,Бизнес,Новостройки,3,95.0,2,9,0,0,0,0,0,0,0,0,0
235,1,45000.0,Бизнес,Вторичный рынок,2,58.0,1,4,0,0,1,1,1,1,1,1,0
236,1,54500.0,Бизнес,Вторичный рынок,3,77.0,3,5,0,0,0,0,0,0,0,1,0
237,0,32500.0,Бизнес,Вторичный рынок,1,33.0,3,4,0,0,1,1,1,1,1,1,0
238,2,165000.0,Бизнес,Новостройки,3,103.0,5,8,1,1,1,1,1,1,1,1,0
239,0,40000.0,Бизнес,Вторичный рынок,2,45.0,3,4,0,0,1,1,1,1,1,1,0
240,2,115500.0,Бизнес,Новостройки,4,128.0,1,8,0,0,1,1,1,1,1,1,0
241,0,44000.0,Бизнес,Вторичный рынок,2,45.0,3,5,1,1,1,1,1,1,1,1,0
242,0,46000.0,Бизнес,Вторичный рынок,2,52.0,4,4,0,0,1,1,1,1,1,1,0
243,0,45500.0,Бизнес,Вторичный рынок,2,50.0,1,5,1,1,1,1,1,1,1,1,0
244,0,44500.0,Бизнес,Вторичный рынок,2,47.0,2,4,0,0,1,1,1,1,1,1,0
245,1,85000.0,Бизнес,Новостройки,3,75.0,4,8,1,1,1,1,1,1,1,1,0
246,2,105000.0,Бизнес,Новостройки,4,138.0,3,16,1,0,1,1,1,1,1,1,0
247,0,58000.0,Бизнес,Вторичный рынок,2,56.0,2,4,1,1,1,1,1,1,1,1,0
248,2,67000.0,Бизнес,Вторичный рынок,3,98.0,9,16,1,1,1,1,1,1,1,1,0
249,1,53000.0,Бизнес,Вторичный рынок,2,55.0,4,4,1,0,1,1,1,1,1,1,0
250,1,40500.0,Бизнес,Вторичный рынок,2,55.0,2,4,0,0,1,1,1,1,1,1,0
251,0,70000.0,Бизнес,Вторичный рынок,2,50.0,3,4,1,0,0,1,1,1,1,1,0
252,0,42500.0,Бизнес,Вторичный рынок,2,50.0,2,4,0,0,1,1,1,1,1,1,0
253,0,28800.0,Бизнес,Вторичный рынок,1,32.0,4,4,0,0,1,1,1,1,1,1,0
254,1,90000.0,Бизнес,Новостройки,4,130.0,1,4,0,0,1,1,1,1,1,1,0
255,2,40500.0,Бизнес,Новостройки,2,55.0,9,10,0,0,1,1,1,1,1,1,0
256,0,36500.0,Бизнес,Вторичный рынок,2,50.0,4,4,1,1,1,1,1,1,1,1,0
257,1,67500.0,Бизнес,Вторичный рынок,4,93.0,1,4,0,0,1,1,1,0,1,1,0
258,0,43200.0,Бизнес,Вторичный рынок,2,55.0,2,4,0,0,1,1,1,1,1,1,0
259,1,58000.0,Бизнес,Вторичный рынок,3,80.0,3,5,1,0,1,1,1,0,1,0,0
260,1,50999.0,Частное лицо,Вторичный рынок,4,102.0,2,9,0,0,1,1,0,0,1,1,0
