Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
1,68000.0,Бизнес,Вторичный рынок,3,75.0,2,4,1,0,0,0,0,0,0,0,0
1,130000.0,Бизнес,Вторичный рынок,4,130.0,6,9,1,1,1,1,1,0,1,1,0
1,46500.0,Бизнес,Вторичный рынок,3,68.0,2,4,0,0,1,1,0,0,1,1,0
1,78000.0,Бизнес,Вторичный рынок,3,93.0,3,5,0,0,0,0,0,0,0,0,0
1,37000.0,Бизнес,Вторичный рынок,2,50.0,2,4,0,0,1,1,1,1,1,1,0
2,54500.0,Бизнес,Вторичный рынок,1,40.0,3,5,1,0,1,1,1,1,1,1,0
0,35500.0,Бизнес,Вторичный рынок,1,36.0,1,5,1,0,0,0,0,0,0,0,0
0,54000.0,Бизнес,Новостройки,2,48.5,4,6,1,0,0,0,0,0,0,0,0
2,47000.0,Бизнес,Вторичный рынок,3,66.0,2,4,0,0,0,1,1,1,1,1,0
0,31500.0,Бизнес,Вторичный рынок,1,33.0,1,4,0,0,0,0,0,0,0,0,0
0,42000.0,Бизнес,Вторичный рынок,2,55.0,2,4,0,0,1,1,1,1,1,1,0
1,155000.0,Бизнес,Вторичный рынок,6,186.0,1,5,0,0,0,0,0,0,0,0,0
0,49900.0,Бизнес,Вторичный рынок,2,45.0,1,4,1,1,1,1,1,1,1,1,0
2,63000.0,Бизнес,Вторичный рынок,2,65.0,8,9,1,0,1,1,1,1,1,1,0
1,100000.0,Бизнес,Вторичный рынок,3,85.0,4,5,1,0,0,0,0,0,0,0,0
0,23000.0,Бизнес,Вторичный рынок,1,20.0,9,9,1,0,0,0,0,0,0,0,0
2,57500.0,Бизнес,Вторичный рынок,2,62.0,3,4,0,0,0,0,0,0,0,0,0
0,39000.0,Бизнес,Вторичный рынок,2,48.0,3,5,0,0,0,0,0,0,0,0,0
0,32500.0,Бизнес,Вторичный рынок,1,28.0,2,4,0,0,0,0,0,0,0,0,0
2,71000.0,Бизнес,Вторичный рынок,3,75.0,3,4,0,0,1,1,1,1,1,1,0
1,68000.0,Частное лицо,Вторичный рынок,4,80.0,2,4,0,0,1,1,1,0,0,1,0
2,34200.0,Бизнес,Вторичный рынок,1,40.0,1,5,0,0,1,1,1,1,1,0,0
0,38500.0,Бизнес,Вторичный рынок,1,48.0,4,4,1,1,1,1,1,1,1,1,0
0,83000.0,Бизнес,Вторичный рынок,3,91.0,3,9,0,0,0,0,0,0,0,0,0
1,100000.0,Бизнес,Новостройки,4,110.0,1,6,0,0,1,1,1,1,1,1,0
2,75000.0,Частное лицо,Вторичный рынок,3,72.0,1,5,0,0,0,0,0,0,0,0,0
0,66500.0,Бизнес,Вторичный рынок,3,65.0,1,4,1,1,1,1,1,1,1,1,0
0,51000.0,Бизнес,Вторичный рынок,3,65.0,2,4,1,1,1,1,1,1,1,1,0
2,200000.0,Бизнес,Новостройки,3,92.0,7,9,1,0,0,0,0,0,0,0,0
0,53500.0,Бизнес,Вторичный рынок,2,52.0,1,4,1,0,1,1,1,1,1,1,0
2,81000.0,Бизнес,Вторичный рынок,3,75.0,6,9,1,0,1,1,1,1,1,1,0
1,53000.0,Бизнес,Вторичный рынок,3,66.0,1,4,0,0,1,1,1,1,1,1,0
0,32500.0,Бизнес,Вторичный рынок,1,40.0,4,5,1,0,0,0,0,0,0,0,0
0,31000.0,Бизнес,Вторичный рынок,1,33.0,1,4,0,0,0,0,0,0,0,0,0
0,30500.0,Бизнес,Вторичный рынок,1,45.0,8,9,0,0,1,1,1,1,1,1,0
2,49000.0,Бизнес,Вторичный рынок,1,31.0,2,4,0,0,0,0,0,0,0,0,0
2,84000.0,Бизнес,Новостройки,3,122.0,3,8,0,0,1,1,1,1,1,1,0
